Name,OriginID,DestinationID,DestinationRank,Total_Minutes,Total_TimeAt1KPH,Total_TravelTime,Total_TruckMinutes,Total_TruckTravelTime,Total_WalkTime,Total_Kilometers,Total_Miles,Shape_Length
Location 365 - SDFB at Manzanita MAC (ZERO balances),365,366,5,,,15.859281288205310,,,,12.971229407750286,,0.097966408011357
Location 365 - P1302 - San Ysidro Health - Campo (MEM),365,5,6,,,11.674408657058073,,,,13.816645542627301,,0.111850708311210
Location 365 - P1364 - MP: Campo,365,6,7,,,11.674408657058073,,,,13.816645542627301,,0.111850708311210
Location 365 - P2158 - PP: Campo,365,7,8,,,11.674408657058073,,,,13.816645542627301,,0.111850708311210
Location 365 - SDFB at La Posta Casino (ZERO balances),365,367,9,,,28.504277024843628,,,,15.010838149001099,,0.104874370448937
"Location 365 - P1027 - San Diego Freedom Ranch, Inc.",365,4,10,,,12.009693066906536,,,,15.061550621831294,,0.121831134037253
Location 365 - P1541 - MP: Jacumba,365,29,11,,,16.008978368708171,,,,21.221109869638784,,0.180927936705395
Location 365 - P2151 - PP: Jacumba,365,30,12,,,16.008978368708171,,,,21.221109869638784,,0.180927936705395
Location 365 - Potrero Elementary (Mountain Empire),365,298,13,,,24.571741937126617,,,,29.575125228842907,,0.250750273191220
Location 365 - P1538 - MP: Potrero,365,47,14,,,24.929103905646556,,,,29.992689278646203,,0.250385851068865
Location 365 - Potrero Community Center Foundation (Neighborhood Dis),365,362,15,,,24.929103905646556,,,,29.992689278646203,,0.250385851068865
Location 365 - Potrero Community Center Foundation (mass),365,800,16,,,24.929103905646556,,,,29.992689278646203,,0.250385851068865
Location 365 - P1366 - MP: Guatay,365,25,17,,,25.086493530328863,,,,36.947873897820116,,0.276455158297971
Location 365 - P1365 - MP: Descanso,365,24,18,,,30.552225492396033,,,,43.196834648984890,,0.325412629466951
Location 365 - El Centro-Catholic Charities,365,611,385,,,62.015915588033067,,,,90.942611098324107,,0.829617609701074
Location 365 - Imperial Valley Food Bank,365,668,391,,,64.973269767210624,,,,91.273997055487570,,0.809198520402333
Location 365 - Calexico-Catholic Charities,365,612,506,,,64.133854931230843,,,,97.739190025329094,,0.877363559334842
Location 539 - P1625 - UPAC (Union of Pan Asian Communities),539,193,1,,,0.000000000000000,,,,0.000000000000000,,0.000000000000000
